2-1-C01,TWN-15403
2-1-C02,RLT-12033
2-1-C03,LOV-00155
2-1-C04,SWN-01961
2-1-C05,JRW-03005
2-1-C06,HOK-80864
2-1-C07,NOW-01522
2-1-C08,ATT-12500
2-1-D01,SNS-01600
2-1-D02,BTT-00216
2-1-D03,FIK-42371
2-1-D04,SMT-90135
2-1-D05,JRW-20018
2-1-D06,NRT-07580
2-1-D07,SDS-00709
2-1-D08,GUD-00068
2-1-B01,SPT-00291
2-1-B02,KOM-08080
2-1-B03,RIS-97478
2-1-B04,LGJ-00735
2-1-B05,STA-08224
2-1-B06,GIO-18228
2-1-B07,HUO-00219
2-1-B08,SPT-12510
2-1-E01,TTT-50360
2-1-E02,BGO-38971
2-1-E03,ELF-83251
2-1-E04,LEX-19856
2-1-E05,PFA-28248
2-1-E06,BEX-00251
2-1-E07,EEA-11465
2-1-E08,ITO-00104
2-1-A01,WAL-98077
2-1-A02,BOX-82042
2-1-A03,CHZ-80011
2-1-A04,GIO-18322
2-1-A05,ISR-10882
2-1-A06,MAA-25924
2-1-A07,NLT-45798
2-1-A08,NWY-49111
2-2-C01,BTL-00215
2-2-C02,QST-00123
2-2-C03,NOW-02214
2-2-C04,NWY-14928
2-2-C05,GIO-14008
2-2-C06,SOL-00521
2-2-C07,GIG-09110
2-2-C08,EUC-63413
2-2-D01,SAW-00362
2-2-D02,HOG-41372
2-2-D03,NAV-00063
2-2-D04,TAF-00100
2-2-D05,WEN-49143
2-2-D06,SOG-18601
2-2-D07,KSH-70338
2-2-D08,HDM-02022
2-2-B01,GOO-00532
2-2-B02,BFD-00516
2-2-B03,NOL-02732
2-2-B04,ATT-14009
2-2-B05,SIR-00512
2-2-B06,CES-07076
2-2-B07,JNJ-02995
2-2-B08,ORK-90701
2-2-E01,MIL-82113
2-2-E02,SAX-00610
2-2-E03,CCS-00224
2-2-E04,JOD-52806
2-2-E05,OPA-00530
2-2-E06,UNN-05243
2-2-E07,BBX-00645
2-2-E08,ENF-11560
2-2-A01,SFM-10200
2-2-A02,STA-08237
2-2-A03,SWN-11188
2-2-A04,ADN-02006
2-2-A05,BFN-04122
2-2-A06,BTL-00204
2-2-A07,DIT-00103
2-2-A08,HAP-01303
2-3-C01,SNS-00779
2-3-C02,WEN-55154
2-3-C03,SMT-90152
2-3-C04,GEM-27527
2-3-C05,TUA-06116
2-3-C06,BIR-00022
2-3-C07,NOW-02715
2-3-C08,RTE-01407
2-3-D01,ORS-00008
2-3-D02,HUC-28064
2-3-D03,GER-02071
2-3-D04,HRC-02139
2-3-D05,GER-01215
2-3-D06,ELF-07706
2-3-D07,TWN-15414
2-3-D08,POL-05306
2-3-B01,NLT-45724
2-3-B02,BFD-00215
2-3-B03,SPT-27032
2-3-B04,DEE-10003
2-3-B05,NOW-01243
2-3-B06,ADM-74016
2-3-B07,JRW-14003
2-3-B08,BRM-00462
2-3-E01,KAG-05010
2-3-E02,SDS-00368
2-3-E03,THR-16801
2-3-E04,BAR-00610
2-3-E05,CYT-50320
2-3-E06,HOG-25116
2-3-E07,NAG-75185
2-3-E08,SMU-05722
2-3-A01,JRW-18004
2-3-A02,MUN-27109
2-3-A03,NWY-41021
2-3-A04,PCA-70106
2-3-A05,SIR-00511
2-3-A06,SOL-59197
2-3-A07,TGO-01008
2-3-A08,AUR-91194
2-4-C01,YUE-00104
2-4-C02,LFH-48081
2-4-C03,NBC-01023
2-4-C04,SOL-00200
2-4-C05,GIO-13008
2-4-C06,NES-37461
2-4-C07,SOL-01101
2-4-C08,CET-86190
2-4-D01,PMF-02040
2-4-D02,BFD-00280
2-4-D03,NWY-40110
2-4-D04,NTL-05238
2-4-D05,DRB-00085
2-4-D06,EQA-10931
2-4-D07,RTE-01406
2-4-D08,KEL-39125
2-4-B01,NOW-06915
2-4-B02,THP-77469
2-4-B03,MEG-00607
2-4-B04,SWN-11592
2-4-B05,CHX-15980
2-4-B06,MRS-12168
2-4-B07,ATK-07705
2-4-B08,JAS-05012
2-4-E01,AVO-03676
2-4-E02,BFD-00654
2-4-E03,FLD-60066
2-4-E04,MAB-53693
2-4-E05,NWY-15413
2-4-E06,SWN-11098
2-4-E07,BFN-08109
2-4-E08,ECT-01213
2-4-A01,BRM-00856
2-4-A02,EDD-00114
2-4-A03,HCR-27570
2-4-A04,JOR-38020
2-4-A05,LOW-04265
2-4-A06,NES-39331
2-4-A07,NOW-05811
2-4-A08,QST-00066
2-5-C01,EAB-20018
2-5-C02,TWN-27896
2-5-C03,NOW-07675
2-5-C04,AVA-36127
2-5-C05,ELF-83132
2-5-C06,RLT-10893
2-5-C07,OPN-02638
2-5-C08,GER-00550
2-5-D01,EOR-01006
2-5-D02,TWE-40489
2-5-D03,IFU-25026
2-5-D04,NOW-07997
2-5-D05,GOL-11390
2-5-D06,BRM-00323
2-5-D07,SOG-50032
